faculty,date,start_time,duration_min,subject,instructor,room,group,type,status
"AwP4.0s1","2026-03-05","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-05","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-03-05","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-06","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1","2026-03-06","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-06","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-10","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-11","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-11","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-03-12","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-03-12","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-12","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-03-12","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-03-12","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-13","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-13","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-17","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-17","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-18","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-18","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-03-19","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-03-19","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-19","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-03-19","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-20","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1","2026-03-20","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-20","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-24","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-25","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-25","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-03-26","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-03-26","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-26","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-03-26","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-03-26","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-27","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-03-27","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-31","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-31","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-01","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-02","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-03","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-04","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-05","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-06","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-07","07:00","900","Przerwa świąteczna","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-04-08","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-04-08","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-04-09","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-04-09","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-09","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-04-09","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-04-09","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-10","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-04-10","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-04-14","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-14","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-15","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-04-15","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-04-16","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-04-16","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-16","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-04-16","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-17","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1","2026-04-17","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-04-17","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-04-21","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-22","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-04-22","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-04-23","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-04-23","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-23","12:45","135","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-04-23","15:30","135","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-04-23","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-24","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","P1","laboratoria","aktywne"
"AwP4.0s1","2026-04-28","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-28","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-04-29","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-04-29","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-04-30","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-04-30","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-04-30","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-04-30","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-01","07:00","900","Majówka","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-02","07:00","900","Majówka","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-03","07:00","900","Majówka","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-04","07:00","900","Majówka","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-05","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-06","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-05-06","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-05-07","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-07","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-05-07","12:45","135","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-05-07","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-05-07","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-08","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-12","07:00","900","Święto Szkoły","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-13","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-05-13","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-05-14","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-14","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-05-14","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-15","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1","2026-05-15","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-19","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-20","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-05-20","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-05-21","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-21","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-05-21","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-05-21","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-22","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-24","07:00","900","Zielone Świątki","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-05-26","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-05-26","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-27","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-05-27","18:00","45","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-05-28","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-05-28","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-05-28","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-05-29","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1","2026-05-29","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","P1","laboratoria","aktywne"
"AwP4.0s1","2026-06-02","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-06-03","16:15","45","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-06-04","07:00","900","Boże Ciało","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-06-05","07:00","900","Boże Ciało","Brak","-","Wszystkie grupy","święto","wolne"
"AwP4.0s1","2026-06-09","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-06-09","18:00","45","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-06-10","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-06-11","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-06-11","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-06-12","09:15","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","A3","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-02-23","09:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-02-23","11:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-23","12:45","135","Energoelektronika przemysłowa","dr inż. Z. Szular","109B","Lk1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-23","16:15","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-02-24","09:30","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","10:15","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk","208B","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","12:00","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk / dr inż. M. Sieja","208B","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","12:00","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","14:30","90","Inżynieria sterowania","dr inż. M. Pawlik","9","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-02-24","16:15","90","Inżynieria sterowania","dr inż. M. Pawlik","18","Lk1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","18:00","90","Inżynieria sterowania","dr inż. M. Pawlik","18","Lk2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-24","19:45","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","P2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-02-26","14:30","90","Energoelektronika przemysłowa","prof. W. Mazgaj / dr inż. Z. Szular","A4","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-02","09:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-02","11:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-02","12:45","135","Energoelektronika przemysłowa","dr inż. Z. Szular","109B","Lk2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-02","16:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. A. Drwal","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-02","18:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. A. Drwal","06","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-03","09:30","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-03","12:00","90","Pomiary elektryczne wielkości nieelektrycznych","dr inż. M. Sieja","208C","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-03","16:15","90","Inżynieria sterowania","dr inż. M. Pawlik","18","P1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-03","18:00","90","Inżynieria sterowania","dr inż. M. Pawlik","18","P2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-04","10:00","90","Techniki negocjacyjne","mgr T. Kuta","9","W / C / S","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-05","14:30","90","Energoelektronika przemysłowa","prof. W. Mazgaj / dr inż. Z. Szular","A4","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-09","09:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-09","11:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-09","12:45","135","Energoelektronika przemysłowa","dr inż. Z. Szular","109B","Lk1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-09","16:15","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-10","09:30","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","10:15","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk","208B","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","12:00","90","Pomiary elektryczne wielkości nieelektrycznych","prof. K. Tomczyk / dr inż. M. Sieja","208B","L1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","12:00","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","14:30","90","Inżynieria sterowania","dr inż. M. Pawlik","9","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-10","16:15","90","Inżynieria sterowania","dr inż. M. Pawlik","18","Lk1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","18:00","90","Inżynieria sterowania","dr inż. M. Pawlik","18","Lk2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-10","19:45","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","P2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-11","10:00","90","Techniki negocjacyjne","mgr T. Kuta","9","W / C / S","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-12","14:30","90","Energoelektronika przemysłowa","prof. W. Mazgaj / dr inż. Z. Szular","A4","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-16","09:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-16","11:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-16","12:45","135","Energoelektronika przemysłowa","dr inż. Z. Szular","109B","Lk2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-16","16:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. A. Drwal","A1","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-16","18:00","90","Mikrokontrolery i sterowniki programowalne","dr inż. A. Drwal","06","L3","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-17","09:30","135","Energoelektronika przemysłowa","dr inż. Z. Szular / mgr inż. M. Wawro","013B","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-17","12:00","90","Pomiary elektryczne wielkości nieelektrycznych","dr inż. M. Sieja","208C","L2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-17","16:15","90","Inżynieria sterowania","dr inż. M. Pawlik","18","P1","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-17","18:00","90","Inżynieria sterowania","dr inż. M. Pawlik","18","P2","laboratoria","aktywne"
"AwP4.0s1_EEs1","2026-03-18","10:00","90","Techniki negocjacyjne","mgr T. Kuta","9","W / C / S","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-19","14:30","90","Energoelektronika przemysłowa","prof. W. Mazgaj / dr inż. Z. Szular","A4","W","wykład","aktywne"
"AwP4.0s1_EEs1","2026-03-23","09:15","90","Mikrokontrolery i sterowniki programowalne","dr inż. S. Żaba","06","P1","laboratoria","aktywne"
